indulgence,"탐닉, 호사",st22E
dismantle,해체하다,st22E
defective,결함있는,st22E
allow for,~을 가능하게 하다,st22E
price (가격 아님),"희생, 대가",st22E
suited,"적합한, 어울리는",st22E
do away with,~를 제거하다 (get rid of 와 같음),st22E
reconcile,"양립하게 하다, 조화시키다",st22E
self-worth,"자부심, 자존심",st22E
on offer,이용할 수 있는,st22E
filling,"충전재, 충전물",st22E
personalisation,개인화,st22E
mortgage,(담보) 대출,st22E
term,기간,st22E
building society,주택 금융 공제 조합,st22E
inevitable,"불가피한, 피할 수 없는",st22E
standardisation,표준화,st22E
explosion,폭발적인 증가,st22E
propose,제안하다,st22E
proposal,제안,st22E
mimic,모방하다,st22E
expiry date,"유효 기한, 만기 날짜",st22E
