handout,나눠주다,UniversalBasicIncomeInTheDevelopingWorld-Benerjee_etal
offset,상쇄하다,UniversalBasicIncomeInTheDevelopingWorld-Benerjee_etal
withdrawal,"철수, 철회, 탈퇴, 인출",UniversalBasicIncomeInTheDevelopingWorld-Benerjee_etal
envision,"상상하다, 마음에 그리다, 계획하다",UniversalBasicIncomeInTheDevelopingWorld-Benerjee_etal
garner,~을 모으다,UniversalBasicIncomeInTheDevelopingWorld-Benerjee_etal
pension,"연금, 연기금, 퇴직금",UniversalBasicIncomeInTheDevelopingWorld-Benerjee_etal
literature,"문헌, 조사 보고서",UniversalBasicIncomeInTheDevelopingWorld-Benerjee_etal
temptation,유혹,UniversalBasicIncomeInTheDevelopingWorld-Benerjee_etal
value,"중시하다, 가치있게 여기다",UniversalBasicIncomeInTheDevelopingWorld-Benerjee_etal
technocrat,"기술관료(과학자, 기술자 출신의 고위 공무원)",UniversalBasicIncomeInTheDevelopingWorld-Benerjee_etal
propensity,"경향, 성향, 기호",UniversalBasicIncomeInTheDevelopingWorld-Benerjee_etal
prospect,"전망, 과제, 가능성",UniversalBasicIncomeInTheDevelopingWorld-Benerjee_etal
periodic,"주기적인, 정기적인, 정기의",UniversalBasicIncomeInTheDevelopingWorld-Benerjee_etal
unitary,"하나의, 단일의, 통일의",UniversalBasicIncomeInTheDevelopingWorld-Benerjee_etal
ample,"풍부한, 충분한, 넓은",UniversalBasicIncomeInTheDevelopingWorld-Benerjee_etal
consequential,"결과로서 일어나는, 중대한, 당연한",UniversalBasicIncomeInTheDevelopingWorld-Benerjee_etal
anthropometric,"인체측정의, 인체계측의, 인체측정학의",UniversalBasicIncomeInTheDevelopingWorld-Benerjee_etal
duration,지속기간,UniversalBasicIncomeInTheDevelopingWorld-Benerjee_etal
strand,"가닥, (어떤 것을 이루는) 요소, (이야기의) 맥락",UniversalBasicIncomeInTheDeDevelopingWorld-Benerjee_etal
prima facie evidence,일단 채택된 증거,UniversalBasicIncomeInTheDeDevelopingWorld-Benerjee_etal
prima facie,"(한정적) 분명한, 자명한, 첫인상으로",UniversalBasicIncomeInTheDeDevelopingWorld-Benerjee_etal
lump,함께 묶이다,UniversalBasicIncomeInTheDeDevelopingWorld-Benerjee_etal
aversion,"혐오, 반감, 아주 싫은 것",UniversalBasicIncomeInTheDeDevelopingWorld-Benerjee_etal
transformative,"변형시키는 힘이 있는, 변화시키는, 변형의",UniversalBasicIncomeInTheDeDevelopingWorld-Benerjee_etal
poignant,"통한(痛恨)의, 통렬한, 마음에 강하게 호소하는, 감동적인",UniversalBasicIncomeInTheDeDevelopingWorld-Benerjee_etal
evenly,"고르게, 대등하게",UniversalBasicIncomeInTheDeDevelopingWorld-Benerjee_etal
enumerate,"열거하다, ~을 하나하나 열거하다",UniversalBasicIncomeInTheDeDevelopingWorld-Benerjee_etal
segment,"분절, 부분, 부문, 분할하다, 영역",UniversalBasicIncomeInTheDeDevelopingWorld-Benerjee_etal
bitterness,"괴로움, 쓰라림, 고통",UniversalBasicIncomeInTheDeDevelopingWorld-Benerjee_etal
beneficiaries,"<modify it to beneficiary> 수혜자, 수익자, 수취인",UniversalBasicIncomeInTheDeDevelopingWorld-Benerjee_etal
constituency,"선거구, 유권자, 선거 구민",UniversalBasicIncomeInTheDeDevelopingWorld-Benerjee_etal
exclusion,"배제, 제외, 베타, 소외",UniversalBasicIncomeInTheDeDevelopingWorld-Benerjee_etal
quintile,5분위수,UniversalBasicIncomeInTheDeDevelopingWorld-Benerjee_etal
regressivity,퇴보성,UniversalBasicIncomeInTheDeDevelopingWorld-Benerjee_etal
de facto,사실상의,UniversalBasicIncomeInTheDeDevelopingWorld-Benerjee_etal
specifics,세부사항,UniversalBasicIncomeInTheDeDevelopingWorld-Benerjee_etal
