concerning,~에 관한,sw22
meter,계량기,sw22
itemize,"세목화하다, 항목별로 나누다",sw22
directive,"명시하는, 명확한",sw22
outline,간추려 기술하다,sw22
outstanding,미결제의,sw22
curl up,(몸읕) 웅크리다,sw22
beam,활짝 웃다,sw22
crusted,딱지가 앉은,sw22
hazel,녹갈색의,sw22
cradle,"받쳐들다, 양손으로 안아들다",sw22
mundane,"평범한, 일상적인",sw22
component,구성요소,sw22
cite,인용하다,sw22
language mash-up,(둘 이상의 어구를) 혼합한 언어 표현,sw22
sinking feeling,가슴이 철렁하는 느낌,sw22
reportedly,"전하는 바에 의하면, 소문에 의하면",sw22
gist,요점,sw22
stumble on,~을 우연히 발견하다,sw22
if nothing else,적어도,sw22
discordant,불협화음의,sw22
coastal,해안의,sw22
disparity,"차이, 불균형",sw22
morbidity,(어느 한 지방의) 질병률(질병에 걸린 사람 수의 비율),sw22
associational,단체의,sw22
Uranus,천왕성,sw22
substantial,상당한,sw22
discrepancy,"차이, 불일치, 어긋남",sw22
irregularity,불규칙성,sw22
Briton,영국인,sw22
train,"겨누다, 조준하다",sw22
Neptune,해왕성,sw22
supreme,"최고의, 극도의ㅌ",sw22
overhear,(남의 대화 등을) 우연히 듣다,sw22
conformity,"순응, 순종, 복종",sw22
